text,sentiment
didnt get a Coby tape,neg
Working fine,pos
I rarely give bad reviews,neg
Travel charger.,pos
A tradiotional American CON JOB,neg
Very Good!,pos
Really?,neg
Galaxy S4 Charger,pos
Waste of money!!,neg
Backup  for work,pos
Complete waste of money.,neg
Works Great...,pos
"JUNK, WORTHLESS, DOES NOT WORK!!",neg
CAME RIGHT IN HANDY!,pos
dont work,neg
OEM Samsung micro USB charger,pos
Coverage problems; phone problems; bad transfers,neg
Great product - Great price,pos
boom headset,neg
Awesome,pos
Can't hear out of the ear piece,neg
It Works Great,pos
Won't fit.  Useless.,neg
ok so far,pos
arrived pre-destroyed,neg
Great car charger,pos
Pure Garbage,neg
Beats the Sprint.com price,pos
Not as pictured,neg
Good charger,pos
Poor Microphone Quality,neg
Car Charger,pos
Bad reception,neg
Great,pos
Nextel is a mess,neg
Works great!,pos
Caused me to lose all of my data,neg
good charger and great for the price,pos
Horrible Product....(after months of testing),neg
good charger,pos
Nice Battery.  Bad performance.,neg
Works as expected,pos
Wrong product for the Wilson Booster,neg
Samsung Official OEM Car Charger for your Galaxy S2 Phone! Original...,pos
Don't Work For Sprint PCS. #301103,neg
insuperable,pos
Poor,neg
Cheap and it works!,pos
Huge Disappointment,neg
Works just fine.,pos
"Did have adhesive, and very thin",neg
:) :) :),pos
Terrible product,neg
Works well,pos
WILL NOT RECONNECT TO Iphone 3GS IOS 4,neg
Jean P. review.,pos
"Extremely dangerous device, broke my Treo 650",neg
love it,pos
"Discontinued item, no driver download to device, scumbags",neg
Exactly like the original that came with the phone.,pos
A change of heart,neg
as expected. does the job,pos
No Blackberry driver,neg
Super Long Cord,pos
Does not last,neg
Good Buy.,pos
returning it,neg
Beautiful and powerful,pos
no go on Treo 650,neg
WOW I LOVE THIS CASE,pos
Only the price is right.  You get what you pay for.,neg
AWESOME CASE,pos
looks like refirbished item,neg
Fantastic case !,pos
not good with the Treo 650,neg
Amazing Quality and beautiful case!,pos
Only the price is right.  You get what you pay for.,neg
wife phone case,pos
Too Thin,neg
Great case!,pos
Didn't work,neg
What a pleasant color,pos
Doesn't work.,neg
It is very cute,pos
Worst phone I had so far,neg
Beautiful,pos
Not good,neg
Love it!,pos
Doesn't work,neg
iphone 4 case,pos
DOES NOT WORK,neg
Really cute!,pos
crap,neg
Excellent Product,pos
i was fooled,neg
Speakers Sound Good,pos
piece of junk broke already!!!,neg
Power to the Phone!,pos
"Great electronics, poor electronics.",neg
I love this case,pos
Doesn't work with 2-way radios,neg
"Awesome Case, Love it.",pos
"Sadly, I'm leaving Palm",neg
charging case,pos
Cardo Systems scala-500 Bluetooth Headset does not live up to expectations,neg
Only case I ever need,pos
Junk.,neg
Just what i needed,pos
RUN AWAY!!!,neg
Puts a new perspective on power,pos
"These are old, with a short recharge life, end of the era.",neg
Fit well om my GF's phone,pos
Pay a little more for one that will actually work !,neg
"Amazing Case, SAVED MY LIFE!!!",pos
Test everything you purchase to ensure it works and functions properly,neg
case and charger in one.,pos
I don't recommend,neg
Finally!,pos
jazzyj,neg
yet another awesome case from these guys,pos
Worst Service I Have Ever Gotten From Amazon,neg
Sweeeeeet,pos
"Goodbye, Moto",neg
BOMBA,pos
Don't,neg
nice blue color,pos
fell apart after 1 use.,neg
Powered to the max,pos
Poor Microphone Quality,neg
MUST GET GUYS REALLY!,pos
"Might work on a Palm, but...",neg
Additional battery life,pos
No so great,neg
I Love this!,pos
Bad design!,neg
One of the few that works,pos
Another Counterfeit from Amazon Market place Seller!!!,neg
Excelente muy bueno para Galaxy s2,pos
*insert sad faces here*,neg
Works well with AT&T version,pos
Bad Design...,neg
Awesome case and cheap too,pos
Does NOT fit S4,neg
"Good case, flexible but good enough",pos
dented ....came in an envelope,neg
It fits perfect,pos
Pass on this wallet/case combo,neg
Good Protection & Reasonable Price,pos
Stay away.,neg
GOOD CASE for the Worth of 4$,pos
Worthless,neg
Great .,pos
dont waste your money,neg
Very good case,pos
Stay way!,neg
HTC sensation 4G,pos
JUNK,neg
Very good case.,pos
Low profile but poor charging,neg
Nice and inexpensive case,pos
Poor quality,neg
yeah,pos
***Read this!!***  Don't buy!!,neg
love it,pos
"Not Leather, Expensive To Return",neg
"easy to put on, looks great",pos
Not a good product to protect you iPhone!,neg
"Great Grip, Great Style",pos
Terrible reception relative to other headsets,neg
good,pos
absolute junk,neg
"USB Plug for Blackberry, my chase",pos
"Junk, pure junk!",neg
Product meets my purpose,pos
Infuriating,neg
High Quality - Good Value,pos
Bought  New; Received Used,neg
good value,pos
Unusable in car or loud environments,neg
USB Cable,pos
Get the H700 Instead!,neg
CHEAP and works perfectly,pos
No Go On the Treo 650,neg
Good for the car,pos
Motorola HS850 Bluetooth,neg
It works,pos
This completely sucks,neg
Why pay more?,pos
"Poor, shoddy ear piece",neg
Great addition,pos
fairly useless item,neg
Best buy!!,pos
Not for those wearing glasses / limited rotation on mouthpiece,neg
does as expected,pos
"I brought new retail package, but Plantronics exchanged a used one for me",neg
Perfect!,pos
toxic disposiable product,neg
HTC Cable?,pos
Echo for other person,neg
Trust HTC accessories for HTC phones.,pos
Have never been able to unmute it.,neg
EXACTLY what i wanted!,pos
Black (RAZR) V3,neg
Great Cord,pos
"Motorola RAZR V3 Unlocked Phone with Camera, and Video...",neg
good price,pos
"product not as described, customer service blows!",neg
works great,pos
sent back,neg
charger,pos
Defective headband,neg
Works!,pos
great while it lasts,neg
transfer this,pos
charges...,neg
car charger,pos
Crao,neg
Loving it,pos
really poor quality on the 360,neg
Just what I needed,pos
Poor Microphone Quality,neg
Pretty decent!,pos
Nice design marred by some glitches; first unit had to be replaced after 3 weeks use,neg
would order again,pos
Stopped accepting a charge,neg
Perfect,pos
worst phone I have ever owned,neg
Works as advertised,pos
^%$@#!!,neg
retractable car charger,pos
Once Great Cell Phone,neg
Ask her ??,pos
Interference Problems,neg
excellent,pos
that ole chinese quality product,neg
Wonderful,pos
Absolute garbage,neg
Home Charger,pos
Never again,neg
Perfect for my T-Mobile Galaxy S2,pos
Terrible!!,neg
good charger,pos
"Huge, clunky, uncomfortable and does not pair",neg
wall charger.,pos
Losing connection to handset within 1 foot range,neg
Works great,pos
ONLY works on a Ericsson phone,neg
Great charger!,pos
"Looks nice, just wish it worked well",neg
I am charging away now.......,pos
Good design but terrible quality and a lot of movement.,neg
Great,pos
Broke,neg
Retractable Car  Charger,pos
Can do better,neg
Good deal,pos
"biggest power consumption,",neg
works great,pos
Not what is pictured,neg
Excellent!,pos
They don't fit a Voyager Pro,neg
Great headset!,pos
Amazon shouldn't be selling this,neg
Plantronics Quality and Comfort,pos
GARBAGE,neg
Make sure you know its a 2.5 jack not 3.5,pos
Don't buy this for the Iphone,neg
One of the few headsets that work with my cordless phone,pos
Good product but was not for me,neg
Great headsets,pos
"Doesn't work, phone keep showing ""invalid battery""",neg
Stanley rocks,pos
another unsafe product,neg
works well,pos
Not really what you want,neg
Perfect set of screwdrivers for teeny tiny jobs,pos
"After a few months, it's AWFUL.",neg
very satisfied,pos
Manure,neg
excellent value,pos
Awful-Piece of Junk,neg
Standard battery,pos
CINGULAR branded firmware,neg
Professional Tools,pos
Palm pouch useless,neg
Good Deal,pos
Run from this company,neg
Nice set,pos
would not connect to phone,neg
Just what I needed,pos
one of the worst bluetooth deavice you can buy,neg
Cell repair essential,pos
Awful with LG VX-9400 (Returned It),neg
Gives most of what you need to change the battery on the iPhone 4S,pos
Does not work,neg
"So easy to replace, but you will need tools",pos
Junk,neg
Worked for just what I needed.,pos
"If you need this phone, get it from ATT",neg
Five Stars,pos
Beware! Still not working after 1 year.,neg
It is what it is.,pos
Never. Worked.,neg
Very complete tools,pos
Very poor product quality.,neg
great tool,pos
Horrible,neg
LOVE IT,pos
"Absolute crap, doesn't even deserve 1 star",neg
Great Tool Set,pos
Verizon service is spoofing sender's email address when configured for IMAP,neg
Amazingly Simple,pos
Black Screen of Death,neg
A nice set and a must-have for any workshop or toolbox.,pos
"Never buy this phone, Never buy from Amazon",neg
must have,pos
WASTE OF MONEY,neg
Great product,pos
junk,neg
"Great kit, if you don't mind the wait!",pos
greatly underperforms,neg
Solid quality set,pos
Dont buy Samsung Products anymore!!!,neg
They're screwdrivers,pos
"Quite simply, overrated",neg
always wanted one,pos
Deserves no stars.  Amazon deserves less!,neg
love it,pos
presses the headset button!,neg
Brought life back to my iPhone5,pos
Defective,neg
Lasts,pos
Microphone didn't work,neg
Android repair tool set,pos
It works but has VERY annoying quirks,neg
Not bad quality,pos
Never again,neg
Good Value,pos
Worse Buy Ever,neg
Great deal,pos
"Good sound, fundamental design flaws, now in the waste bucket",neg
Handy to have,pos
Have stopped using it,neg
Nice little small screwdriver set,pos
50/50 Chance This Will Work at All,neg
Useful Tool Repair Kit,pos
Dont Bother,neg
awesome,pos
Do not buy!,neg
Perfect replacement for my worn out iPhone 4S battery,pos
Charger FAIL,neg
great,pos
Destroyed my new Ipod!!!,neg
nice quality,pos
wasted money !!!,neg
Works perfectly fine,pos
White gets DIRTY/discolored!!!!,neg
Needed it for our Glasses,pos
Horrible Belt clip,neg
Works great with Jawbone Era,pos
No Go.....,neg
Comfort at last,pos
Weak belt clip,neg
Music to my ears,pos
My phone slid right out of it and busted on the pavement,neg
GREAT,pos
Broke!!!,neg
great product,pos
BoxWave Dual+ Holster Samsung Galaxy Note 2 Case,neg
Great Ear Gels,pos
Took less than a week.,neg
Great,pos
Junk,neg
Jawbone Just got perfect,pos
Would be fine if.,neg
Wonderful,pos
Does not fit well at all,neg
Jabra Earboom,pos
WHAT TYPE OF SCAM IS THIS,neg
"Good Item, BUT.....",pos
Got what I paid for,neg
Great value and functionality,pos
Covers device is about all I can say.,neg
Excellent product.,pos
SUPER FLIMSY!,neg
Great Product @ Bargain Price,pos
overheats when charging; not much duration for standby charge,neg
Great for a Honda!,pos
"Bad Quality, Doesn't hold charge",neg
A giant eagle flew with all haste to deliver this package,pos
Same old thing,neg
Play my mp3s in the car,pos
Fake battery,neg
LOVE IT !!,pos
COunterfeit Battery --- this time from The OEM Shop,neg
worked just fine,pos
Complete piece of garbage,neg
Great. Cheap. Works.,pos
Not all models listed are REALLY supported.,neg
Works great!!,pos
Stay Away,neg
GREAT PRODUCT,pos
Why did they make this product?,neg
Powerful little thing...,pos
"Can't use rechargables. Annoying Light,  Expensive batteries",neg
Its simply awesome. What else to say?,pos
You'll love 'em - until the plastic snaps,neg
"Love it, Love it, Love it",pos
AVOID AVOID AVOID.,neg
Excellent!,pos
Never buy this item!,neg
Great all-around,pos
Don't buy this,neg
Great Bluetooth Phone,pos
Stopped working after less than a month.,neg
Works for me,pos
Only Works Upside Down!,neg
Quick shipment,pos
Still waiting,neg
Excellent price,pos
Poor Quality,neg
Very Good,pos
Cheap,neg
Perfect!,pos
flimsy,neg
Lame attempt to repair a camera,pos
Not for iphone!,neg
"Works great. I've been using this for over a year,",pos
Not for Jeep Liberty,neg
Love the design on this headset,pos
it broke after a week,neg
Very good quality,pos
Didnt work,neg
Better than bluetooth,pos
Mobile Providers Say This Does Not Work,neg
Great,pos
Junk,neg
Well worth the small cost,pos
Did nothing.,neg
"Light weight, easy to use.",pos
For Decorative Use ONLY!,neg
Plantronics MX150 Flexible Boom Headset with 2.5 mm plug,pos
LOOKS GREAT,neg
I LOVE this headset!,pos
so not what I expected,neg
Great Product.,pos
Do not buy,neg
Hands Free Phone,pos
Be Careful - The picture shows 2.5 to 3.5.  Specs are the opposite.,neg
The best office headset I have ever used!,pos
Doesn't work on ATT Desk phone,neg
Plantronics CS50 900MHz Wireless Office Headset System is Terrific!,pos
Shady Seller...,neg
Great Product,pos
DO NOT BUY THIS PRODUCT!,neg
Great Case,pos
Totally worthless for workouts!,neg
Great Safe!,pos
very uncomfortable!,neg
good product by otterbox,pos
Doesn't work,neg
"perfect for ""charge can""",pos
Don't waste your money...,neg
The best phone I've ever owned,pos
Cellet is Garbage Don't Buy Cellet,neg
swapped an i95cl for the .06 slimmer chassis of the i730,pos
Don't Buy this Battery,neg
Exceptional Quality,pos
worthless if you listen to your radio,neg
very happy,pos
To much RF interference,neg
Great Phone,pos
"Weak sound, volume controls do nothing",neg
Amazing phone,pos
Super Crappy,neg
Worked Great,pos
iGo never lived up to what I expected.,neg
Inexpensive but work,pos
Can't Weather the STORM,neg
"UPDATE: reviews from the field (was:I haven't gotten to Europe yet, but...)",pos
Dead after four months.,neg
Worked as intended!,pos
Disappointed,neg
Did the job just fine!,pos
The microphone does not retract anymore after less than a month,neg
"Worked for Europe - Norway, Denmark",pos
Not good. Cable is super thin and cheap,neg
GREAT!,pos
Bad quality,neg
Extraordinarily useful and much less expensive than auto manufacturers' inverters,pos
Falling Apart after 2 weeks!,neg
Shockingly Good!,pos
Stitching coming out after only a handful of occasional uses.,neg
"Excellent audio quality, light, dated plugs",pos
Was shipped Nokia CA-101D cable in sealed CA-100 box,neg
Best (wired) headset.,pos
Meh - Useless and Overpriced,neg
Finally a good Hub!,pos
Does not work,neg
Cyber Sleek Gadget,pos
bad customer service,neg
Very Happy,pos
Disappointed,neg
AMAZING!  CUSTOMER SERVICE INCREDIBLE!,pos
Inaccurate. No amp display. Finally died. Junk,neg
buy this one,pos
"these are geating cheaper (quality, not function)",neg
Works wonderfully,pos
This Headset is NOT worth buying because it doesn't FIT RIGHT!,neg
small and handy with a blue beacon,pos
AVOID AVOID AVOID,neg
Most useful Gadget.,pos
"Horrible BT implementation, breaks a lot, tech support non existent, very uncomfortable earloop, awfully bad charger...",neg
Add up to eight devices; powered hub,pos
Very poor quality and customer service from Jawbone,neg
Great hub for dental operatories to run their intra oral cameras and digital x ray,pos
smells like burnt electronics,neg
"Mac user, works great!",pos
doesn't work for the N85,neg
Value Buy!,pos
POS,neg
More Ports!  More Ports!,pos
Don't buy this if....,neg
Good solid USB Hub!,pos
Ummm love the sleek look but it broke on me just 4weeks in..,neg
Bought a second one,pos
GARBAGE,neg
Works great and looks great.,pos
Only lasted 5 months!,neg
I love this product,pos
Broke after only 5 weeks,neg
More Ports - Less Desk Space - Mikey Likes It!,pos
Stopped working and light is distracting,neg
Nice Port,pos
Charged slowly - couldn't keep up.,neg
Excellent hub,pos
BLUE LIGHT is too bright and distracting at night,neg
4 years of flawless performance (I even bought another for my wife)--until now.,pos
"Purchased 2, Both Already Failing After 3 Months",neg
It's what I needed,pos
"NOT  working  after 4 months - Motorola warranty center said ""product out of stock"", tried to send a wall charger as replacement",neg
"Excellent, small device",pos
doesn't work with Samsung S3,neg
Everything A Phone Should Be..,pos
Never received shipment...,neg
Wired phone bliss,pos
Short life,neg
Good,pos
Poor description,neg
Works Geat,pos
Stops charging,neg
The only way to communicate with your BT phone!,pos
Packaging--Leaves something to be desired,neg
"Does what it says, plug and go!",pos
Horrible,neg
must have accessory!,pos
Died in 3 weeks!,neg
A nice addition to my Sleek cell booster accessories.,pos
Does NOT Charges phone any longer,neg
Works great,pos
Meh. Not great. Breaks quickly and has an annoying light.,neg
An OEM Product At A Fraction Of The OEM Price,pos
Broke in under a year,neg
Awesome,pos
NOT a Motorola.  Cheap knock off.,neg
Blackberry Charger for Crackberry Addicts,pos
Not what was needed,neg
"These things are great and work for a lot of areas, not just the car",pos
Won't charge my HTC Incredible,neg
Five Stars,pos
... usb port that falls off and is really long waste of money it says nextel on it instead of ...,neg
sticky and cut to fit,pos
useless after a few months,neg
"Excellent Value, Excellent Price",pos
doesnt work with modern smartphones,neg
SWEET,pos
"Bought 2 of these, they stopped working after exactly 9 months",neg
Does what it's supposed to.,pos
Did not work out of package.,neg
Works Great,pos
"Comfortable, but NOKIA OWNERS BEWARE!",neg
Nice for stereo bluetooth speakers!,pos
Maybe only this one???...,neg
my mom loves it,pos
"Terrible Product, Don't Waste Your Money",neg
Handstand sticky pad,pos
Not exactly as depicted,neg
BB Playbook Synced without any difficulty!,pos
No GO,neg
Finally a great portable keyboard!,pos
Junk,neg
One of the best Bluetooth keyboards,pos
"Careful, mine broke.",neg
Wow!  Works with many devices!  Good buy!!,pos
Not worth spending money on this guy ! Not worth spending time on this guy either !,neg
An excellent companion - - - far superior to IR keyboards.,pos
Flashy junk gimmic,neg
"Great keyboard, irreplaceable companion",pos
very overpriced,neg
Excellent for a phone.,pos
Worth no stars at all DON'T BUY!!!!!!,neg
Convenient and Compact!,pos
ZERO stars - AVOID!!!,neg
Put to the TREO 650 challenge,pos
Stunningly expensive,neg
iGo Stowaway Review,pos
Stay Away.............Far Away,neg
Very Comfortable To Wear,pos
Not what you expect!,neg
Great for the price,pos
"A great mystery, and not a good one.",neg
Love it,pos
Didn't hold a charge for 24 hours,neg
Excellent,pos
Avoid this product!,neg
GREAT!,pos
Does not work with iphone4,neg
No interference at all,pos
Bought 3 of these and only 1 sometimes works,neg
"The headset I've been waiting for! And YES, it does support the Apt-X codec. Highly recommended for Samsung and HTC owners.",pos
Flaky and intermitent,neg
A real good blue tooth device,pos
Useless,neg
pleased but disappointed,pos
piece of crap,neg
Mr John Roberts a.k.a John the Baptist,pos
Highly controversal because of underperformance,neg
Works great,pos
terrible... kinda,neg
HS820,pos
"realy thin cable, busted connector",neg
Not  sure what all the negative reviews are about.,pos
You get what you pay for,neg
Good product and a great price,pos
stopped working on day one,neg
Great Cable,pos
bluetooth,neg
works well,pos
SUCKS,neg
"Inexpensive price, solid performance.",pos
Very Disappointing!,neg
Inexpensive Quality Cable,pos
i get the price i paid,neg
Cheap and works.,pos
It's Pink It's Cute That's It,neg
Another winner from Moto!  But T-Mobile coverage sux,pos
protection?NOT!! STYLE? Absolutely!!!!!!,neg
Best phone before smart phones,pos
Worthless.,neg
Five Stars,pos
callers can't understand me!,neg
Powerful little punch,pos
Worst sound of 8 in head-to-head trial,neg
Love it!,pos
Microphone has issues,neg
More Than Just a Sidekick---It's Your Best Friend!,pos
DO NOT buy. Fails within weeks.,neg
Best phone I have owned...,pos
See pictures above!,neg
Better Device than Blackberry or Treo for my needs,pos
Cheaply made and does not work,neg
"Okay, only 4.5 stars",pos
Ths is crap - avoid,neg
The Sidekick II does Almost everything....,pos
Broken -- sound is very muffled,neg
Fantastic Screen Protector,pos
Junk,neg
Boxwave ClearTouch for Samsung Galaxy S4,pos
Don't buy this!,neg
Clear as Can Be !!!,pos
Great if you like muffled sound,neg
"Insane Price, BoxWave Quality",pos
Does Not Work.,neg
great product,pos
Useless for me,neg
The BEST ONE I HAVE EVER RECEIVED!and mines was FREE!,pos
"Don't get ripped off, not as pictured.",neg
Best Cell Phone I've Owned,pos
Poor quality,neg
Solid and durable phone,pos
Doesn't pair - useless to me,neg
A great phone that deserves your attention,pos
Terrible Audio,neg
Best Bluetooth headset!!!,pos
Not for the iPhone,neg
Top notch headset!,pos
cheap cheap cheap quality,neg
I love it!,pos
ATTENTION:  will NOT charge Ipod 4G nano,neg
Good value for the money,pos
Did not work,neg
"Read this, buy this",pos
Junk,neg
Great Mic and speaker quality,pos
IS NOT A DESCRIBE,neg
excellnet performer at any price,pos
never.,neg
Great product!,pos
Broke after a few months of use,neg
Still Working After 3 Years! Highly Recommended!,pos
Has never worked,neg
5 years without a problem!,pos
Doesn't work with Iphone,neg
Works as advertised.,pos
"Didnt work on my Droid, so its useless",neg
Works great,pos
Does not work,neg
Great Convenience,pos
It's cheap and doesn't work,neg
Plantronics HL10 Handset lifter is wonderful!,pos
Complete Waste of money,neg
Plantronics HL10 Handset Lifter,pos
Be careful which Seller you buy it from,neg
Exactly what they promised,pos
not up to daily use,neg
It's only one earpiece...,pos
junk quality rating,neg
Sturdy,pos
Doesn't work at all. Avoid!,neg
For my mother,pos
Didn't work!,neg
nice,pos
Bad connection; bad service,neg
"great price, works how it should!",pos
"No Stars, really",neg
It is Alright,pos
No comments,neg
Works on Mac OS X Tiger!,pos
still sucked,neg
Works great super fast install,pos
pops off  Dont waste money or time on it,neg
"Clear Skype Calls, Long Battery Life, Long Range",pos
Nearly impossible to open the case.,neg
A must get upgrade to the Treo 600!,pos
Cheap.. plastic case,neg
Great Phone,pos
One Star,neg
Don't listen to the complaints - this phone rocks!,pos
Falsely Advertised and Totally Useless!,neg
hard to beat for the price,pos
Charging Station???????????,neg
BEST BLUETOOTH ON THE MARKET,pos
CAUTION: Good Product... Major Hassle!,neg
Hardy!,pos
Worthless,neg
The best BlueTooth headset!!!!,pos
Paid for express shipping and got it almost two weeks later,neg
Perfect for my Contour Roam GPS camera!,pos
Is this even a cell phone?,neg
WELL WORTH THE MONEY !!!,pos
Junk - Don't buy!,neg
Works perfectly for the Levana BABYVIEW20 baby monitor,pos
Never worked,neg
Works Well,pos
Doesnt work,neg
Seems to be Good Replacement to the Original,pos
Not worth it at all,neg
Just as expected,pos
"Defective on Arrival, Bummer I had high expectations, not worth the risk",neg
Works as expected,pos
Worked for about 30 seconds,neg
Perfect Gift,pos
Avoid. Is not even worth free,neg
Loving it,pos
I lDID love it,neg
Simplicity at a decent price,pos
"Works as advertised, very convenient! UPDATE: Broke after 4 months of use",neg
BLUETOOTH,pos
bad,neg
"Seems ""perfect"" to me",pos
Ok,neg
Excellent product,pos
DOA on brand new device.,neg
Great Phone But Missing Software,pos
"The Worst, don't bother Get the Sound Matters!",neg
Cutting edge phone!!!!!!!,pos
Uh......NO!,neg
The Ferrari of Mobile Phones,pos
Very cheap product that will surely disappoint!,neg
"So far, so great!",pos
Top button is not exposed  like pic looks. Iphone 5,neg
"Look carefully at the ""bad reviews""",pos
I wanted to believe!,neg
Excellent Phone,pos
Bad quality,neg
I've had a good experience with this phone,pos
NOT ipod touch 4g compatible,neg
Best earpiece I've owned,pos
Never worked,neg
Love It,pos
Hazzard,neg
Works great and branded Motorola,pos
You may not need this at all.,neg
Love my razr,pos
Buy the large office model rather than taking a chance the small office model won't work.,neg
Cheap and with good quality,pos
Cell phone booster,neg
Works as original battery,pos
Piece of Junk,neg
Do the math.,pos
Nah,neg
Razor Battery,pos
Worthless,neg
Money well spent.,pos
"Not my product's screen, wrong phone",neg
Cell Batteries are great,pos
Terrible Old Stock,neg
Slim Li Ion RAZR battery,pos
Used 5 times and died,neg
Motorola Lithium-ion Battery,pos
Sadly ... This Was Not A New Battery,neg
"Simple, easy to use, great price!",pos
none working out of 5 cables,neg
HS805 Bluetooth,pos
Poor quality - don't buy from this seller,neg
Great case for the Samsung Galaxy Note II. Complete cover.,pos
doesn't work,neg
Pretty Coral,pos
Knockoff,neg
THE PERFECT CASE,pos
Doesn't charge iPhone 4,neg
"Awesome product, so cute",pos
Doesn't work with the iphone,neg
this is great,pos
All 20 pieces totally defective,neg
Good quality,pos
Total junk,neg
Nice but didn't keep.,pos
Cheap!,neg
My wife loved it,pos
Did not fit in my iPhone 4,neg
Great case,pos
These do not last.,neg
Perfect fit!,pos
bad,neg
Typical TPU Case,pos
Waste of money,neg
Really solid case,pos
Trash,neg
Good case,pos
Dont waste your money,neg
Oh Man...,pos
Will not work for IPad 2,neg
As expected...,pos
Item fell apart after 1 week!,neg
best case I have EVER bought for a cellphone,pos
First one worked - second DOA,neg
"One of the best, and I've tried them all",pos
So So Charger,neg
perfect fit & works as described!,pos
AWFUL CORD!,neg
Does the job at a good price,pos
Crappy knock off.,neg
Solid Case,pos
Waste of money,neg
Great case,pos
can't rate what does'nt work eventually,neg
very nice,pos
"Sync, but no charge",neg
Excellent product...right on time.,pos
short cord not as advertized,neg
Very Nice,pos
Do not buy,neg
love,pos
UGH!!,neg
Just Right For Note 2,pos
"HORRIBLE  ""PRODUCT""",neg
Great case for the price.,pos
iPhone USB cable Review,neg
Motorola Cigarette Adapter Charger,pos
DO NOT WASTE YOUR MONEY.  Cheap defective product.,neg
VERY USEFUL ACCESSORY,pos
dont buy,neg
Happy with the service and got what I ordered,pos
Junk!,neg
It's just a power cord...,pos
did not work,neg
better than radioshacks 20 dollar varietys,pos
hate,neg
It works!,pos
Poor,neg
Great deal,pos
Stopped working after a few months,neg
Motorola Charger,pos
poor quality,neg
Awesome!,pos
Not genuine Apple cable,neg
Motorola Cigarette Lighter Adapter,pos
Don't buy,neg
car charger,pos
Not working,neg
Works fine.,pos
Terrible!,neg
VERY cheap for OEM!,pos
Junk - Came apart first time.,neg
"Good Price, Good product",pos
Worked for a while,neg
Great charger highly recommend!,pos
Cheap product,neg
Very nice,pos
Worthless.  Don't waste your time.,neg
Excellent Headset!!,pos
Worst,neg
Charges the 2nd Gen Ipad,pos
I have not got it yet,neg
Great Charger!,pos
Doesn't fit or synch,neg
Great to have,pos
Bad...,neg
Works great.,pos
Nice,neg
Works Great!,pos
Doesn't charge!,neg
Sweet,pos
didnt even work,neg
Good Charger !!!,pos
Broke,neg
Highly praised,pos
BE AWARE... this cable WILL NOT charge your iPhone,neg
I've had a lot of USB 12V chargers.,pos
bad,neg
Good buy!,pos
Broke in less than 2 days,neg
car outlets,pos
Do not get this,neg
"Well designed, fast charging time",pos
NOOOO,neg
Great Unit and ultra compact,pos
CHEAP KNOCK OFF,neg
Worked perfectly!,pos
POS,neg
This is awesome!,pos
Dont do it...,neg
Looks Bad Works Great,pos
horrible,neg
So good I bought a second one,pos
Unhappy with quality,neg
Great invention,pos
This is a Worthless Knockoff,neg
Works great.,pos
Died quickly,neg
excellent,pos
Junk,neg
Great for the value!,pos
Didn't work.,neg
"Thin, Shallow Case",pos
"Junk, Junk, Cheap Junk Cable",neg
Pleasantly surprised!,pos
Broken.,neg
Perfect Samsung Galaxy S3 Case...,pos
BAD CHARER,neg
Fantastic addition to the Nexus 4,pos
Cheap,neg
Great Quality,pos
poor quality,neg
Marvelous Headset,pos
